,Date,Open,High,Low,Close
459,108/11/20,"11,645.73","11,649.07","11,591.73","11,631.20"
460,108/11/21,"11,573.84","11,573.84","11,478.43","11,558.27"
461,108/11/22,"11,556.75","11,577.02","11,534.15","11,566.80"
462,108/11/25,"11,590.81","11,604.75","11,559.33","11,561.58"
463,108/11/26,"11,608.37","11,642.96","11,576.82","11,576.82"
464,108/11/27,"11,590.81","11,651.73","11,590.81","11,647.46"
465,108/11/28,"11,641.70","11,654.06","11,604.68","11,617.08"
466,108/11/29,"11,616.88","11,623.59","11,485.16","11,489.57"
467,108/12/02,"11,509.94","11,524.85","11,454.38","11,502.83"
468,108/12/03,"11,473.32","11,531.58","11,460.06","11,531.58"
469,108/12/04,"11,511.82","11,513.83","11,457.43","11,510.47"
470,108/12/05,"11,546.75","11,604.39","11,546.75","11,594.65"
471,108/12/06,"11,639.80","11,657.65","11,577.83","11,609.64"
472,108/12/09,"11,635.47","11,678.36","11,631.03","11,660.77"
473,108/12/10,"11,647.78","11,649.73","11,607.26","11,627.84"
474,108/12/11,"11,635.07","11,700.77","11,622.58","11,700.77"
475,108/12/12,"11,766.98","11,875.98","11,766.98","11,836.42"
476,108/12/13,"11,937.90","11,990.78","11,913.02","11,927.73"
477,108/12/16,"11,915.61","11,975.73","11,915.61","11,939.77"
478,108/12/17,"11,939.62","12,097.01","11,939.62","12,097.01"
479,108/12/18,"12,061.10","12,125.90","12,059.92","12,122.45"
480,108/12/19,"12,082.98","12,111.77","12,008.16","12,018.90"
481,108/12/20,"12,001.56","12,028.22","11,937.45","11,959.08"
482,108/12/23,"11,969.14","12,022.23","11,960.21","12,022.23"
483,108/12/24,"12,023.79","12,027.60","11,976.38","11,976.38"
484,108/12/25,"11,978.94","12,032.37","11,973.95","12,008.13"
485,108/12/26,"12,018.38","12,030.66","11,982.64","12,001.01"
486,108/12/27,"12,032.72","12,093.02","12,032.72","12,091.59"
487,108/12/30,"12,094.81","12,114.89","12,046.22","12,053.37"
488,108/12/31,"12,019.19","12,047.75","11,997.14","11,997.14"
489,109/01/02,"12,026.50","12,110.74","12,026.23","12,100.48"
490,109/01/03,"12,167.44","12,197.64","12,023.60","12,110.43"
491,109/01/06,"12,035.71","12,040.08","11,953.36","11,953.36"
492,109/01/07,"11,961.97","11,986.03","11,822.40","11,880.32"
493,109/01/08,"11,818.76","11,899.67","11,777.45","11,817.10"
494,109/01/09,"11,889.46","11,992.55","11,889.46","11,970.63"
495,109/01/10,"12,009.27","12,038.21","11,959.06","12,024.65"
496,109/01/13,"12,069.61","12,113.42","12,037.24","12,113.42"
497,109/01/14,"12,161.73","12,186.62","12,140.27","12,179.81"
498,109/01/15,"12,169.92","12,169.92","12,048.01","12,091.88"
499,109/01/16,"12,006.08","12,075.54","12,006.08","12,066.93"
500,109/01/17,"12,080.72","12,117.55","12,055.91","12,090.29"
501,109/01/20,"12,107.56","12,151.42","12,101.55","12,118.71"
502,109/01/30,"11,933.23","11,933.23","11,418.22","11,421.74"
503,109/01/31,"11,494.03","11,594.21","11,436.95","11,495.10"
504,109/02/03,"11,365.90","11,365.90","11,138.03","11,354.92"
505,109/02/04,"11,399.46","11,581.36","11,393.03","11,555.92"
506,109/02/05,"11,601.55","11,620.42","11,512.71","11,573.62"
507,109/02/06,"11,605.11","11,749.68","11,605.11","11,749.68"
508,109/02/07,"11,712.71","11,712.71","11,592.09","11,612.81"
509,109/02/10,"11,514.72","11,598.03","11,423.34","11,574.07"
510,109/02/11,"11,614.25","11,678.58","11,614.25","11,664.04"
511,109/02/12,"11,693.40","11,801.52","11,693.40","11,774.19"
512,109/02/13,"11,813.50","11,854.98","11,784.94","11,791.78"
513,109/02/14,"11,806.52","11,840.79","11,788.87","11,815.70"
514,109/02/17,"11,770.30","11,775.56","11,724.82","11,763.51"
515,109/02/18,"11,700.91","11,717.10","11,642.95","11,648.98"
516,109/02/19,"11,655.37","11,783.43","11,654.16","11,758.84"
517,109/02/20,"11,785.78","11,827.83","11,714.15","11,725.09"
518,109/02/21,"11,721.16","11,755.17","11,661.63","11,686.35"
519,109/02/24,"11,615.28","11,615.28","11,512.08","11,534.87"
520,109/02/25,"11,506.74","11,567.09","11,415.47","11,540.23"
521,109/02/26,"11,468.60","11,494.22","11,408.06","11,433.62"
522,109/02/27,"11,436.96","11,470.23","11,274.52","11,292.17"
523,109/03/02,"11,184.66","11,282.05","11,049.85","11,170.46"
524,109/03/03,"11,279.86","11,390.24","11,279.86","11,327.72"
525,109/03/04,"11,368.25","11,392.35","11,297.81","11,392.35"
526,109/03/05,"11,454.65","11,525.32","11,454.65","11,514.82"
527,109/03/06,"11,471.36","11,471.36","11,310.32","11,321.81"
528,109/03/09,"11,221.76","11,221.76","10,977.64","10,977.64"
529,109/03/10,"10,907.62","11,032.47","10,830.22","11,003.54"
530,109/03/11,"11,022.82","11,088.23","10,885.91","10,893.75"
531,109/03/12,"10,845.39","10,845.39","10,359.67","10,422.32"
532,109/03/13,"10,091.03","10,171.20","9,636.15","10,128.87"
533,109/03/16,"10,069.42","10,130.80","9,717.77","9,717.77"
534,109/03/17,"9,538.64","9,677.07","9,371.35","9,439.63"
535,109/03/18,"9,453.98","9,509.61","9,218.67","9,218.67"
536,109/03/19,"9,085.28","9,085.28","8,523.63","8,681.34"
537,109/03/20,"8,816.86","9,264.42","8,816.86","9,234.09"
538,109/03/23,"9,025.55","9,029.52","8,750.14","8,890.03"
539,109/03/24,"9,083.78","9,415.64","9,083.78","9,285.62"
540,109/03/25,"9,426.43","9,722.37","9,426.43","9,644.75"
541,109/03/26,"9,667.14","9,739.73","9,565.02","9,736.36"
542,109/03/27,"9,807.90","9,954.86","9,691.14","9,698.92"
543,109/03/30,"9,571.22","9,655.70","9,415.52","9,629.43"
544,109/03/31,"9,689.62","9,789.81","9,630.30","9,708.06"
545,109/04/01,"9,726.20","9,736.00","9,663.63","9,663.63"
546,109/04/06,"9,707.75","9,818.74","9,651.52","9,818.74"
547,109/04/07,"9,928.16","10,039.15","9,928.16","9,996.39"
548,109/04/08,"10,010.64","10,149.76","9,984.66","10,137.47"
549,109/04/09,"10,173.26","10,246.84","10,092.36","10,119.43"
550,109/04/10,"10,105.43","10,165.12","10,103.77","10,157.61"
551,109/04/13,"10,147.56","10,179.40","10,080.65","10,099.22"
552,109/04/14,"10,130.65","10,344.13","10,130.65","10,332.94"
553,109/04/15,"10,366.77","10,461.84","10,366.77","10,447.21"
554,109/04/16,"10,385.78","10,425.29","10,317.13","10,375.48"
555,109/04/17,"10,554.55","10,710.15","10,552.58","10,597.04"
556,109/04/20,"10,612.45","10,637.64","10,542.96","10,586.71"
557,109/04/21,"10,544.80","10,544.80","10,278.95","10,288.42"
558,109/04/22,"10,256.11","10,310.85","10,140.09","10,307.74"
559,109/04/23,"10,370.13","10,462.70","10,294.88","10,366.51"
560,109/04/24,"10,367.97","10,386.93","10,324.20","10,347.36"
561,109/04/27,"10,407.49","10,578.96","10,407.49","10,567.27"
562,109/04/28,"10,580.25","10,620.52","10,537.71","10,616.06"
